note: This is not a comprehensive list of all Taco Bells. This is a list of all locations that have a store page on tacobell.com,,,,,,,,,,,,,,
data is current as of 28 August 2017,,,,,,,,,,,,,,
storeid,name,location-name,address,city,state,zip,phone,latitude,longitude,drive-thru,open-late,delivery,breakfast,combo w/
001691,Taco Bell #001691 - 3029 Cerrillos Road,3029 Cerrillos Road,3029 Cerrillos Road,Santa Fe,NM,87507,(505) 471-0611,35.65380748,-105.9949879,yes,yes,no,yes,
001693,Taco Bell #001693 - 2933 S National Ave.,2933 S National Ave.,2933 S National Ave.,Springfield,MO,65804,(417) 882-3725,37.16099971,-93.27760135,yes,yes,no,yes,
001695,Taco Bell #001695 - 121 Oneawa St,121 Oneawa St,121 Oneawa St,Kailua,HI,96734,(808) 261-7429,21.39631741,-157.7455428,no,no,no,no,
001701,Taco Bell #001701 - 1501 W 6th St,1501 W 6th St,1501 W 6th St,The Dalles,OR,97058,(541) 298-1977,45.60883449,-121.2029376,yes,yes,no,yes,
001704,Taco Bell #001704 - 3842 S. Emerson Ave,3842 S. Emerson Ave,3842 S. Emerson Ave,Indianapolis,IN,46203,(317) 784-1382,39.71073107,-86.0831681,yes,yes,no,yes,
001715,Taco Bell #001715 - 405 E. Platte Avenue,405 E. Platte Avenue,405 E. Platte Avenue,Colorado Springs,CO,80903,(719) 471-2743,38.83765493,-104.8172696,yes,yes,no,yes,
001726,Taco Bell #001726 - 45132 Ford Road,45132 Ford Road,45132 Ford Road,Canton,MI,48187,(734) 455-1732,42.32247892,-83.48488226,yes,yes,no,yes,
001732,Taco Bell #001732 - 205 E Oak Street,205 E Oak Street,205 E Oak Street,Conway,AR,72032,(501) 329-5090,35.09125104,-92.42576838,yes,yes,no,yes,
001734,Taco Bell #001734 - 38330 W 10 Mile Rd,38330 W 10 Mile Rd,38330 W 10 Mile Rd,Farmington Hills,MI,48335,(248) 478-3138,42.46879876,-83.42478863,yes,yes,no,yes,
001738,Taco Bell #001738 - 231 E Ireland Road,231 E Ireland Road,231 E Ireland Road,South Bend,IN,46614,(574) 291-9550,41.62943198,-86.24777868,yes,yes,no,yes,
001739,Taco Bell #001739 - 1704 Military Rd,1704 Military Rd,1704 Military Rd,Benton,AR,72015,(501) 315-4826,34.58043417,-92.57390804,yes,yes,no,yes,
001745,Taco Bell #001745 - 3076 Long Beach Road,3076 Long Beach Road,3076 Long Beach Road,Oceanside,NY,11572,(516) 678-2674,40.63705329,-73.64062075,yes,yes,no,yes,
001746,Taco Bell #001746 - 700 Eastern Boulevard,700 Eastern Boulevard,700 Eastern Boulevard,Essex,MD,21221,(410) 391-9032,39.31069713,-76.470754,yes,yes,no,yes,
001748,Taco Bell #001748 - 1293 Canton Rd,1293 Canton Rd,1293 Canton Rd,Akron,OH,44312,(330) 733-4803,41.03065616,-81.42621025,yes,yes,no,yes,
001758,Taco Bell #001758 - 2804 Airline Blvd,2804 Airline Blvd,2804 Airline Blvd,Portsmouth,VA,23701,(757) 465-0069,36.8105401,-76.36590336,yes,yes,no,yes,
